theory_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,source_shift_index,Forward,Backward
41,1684.53278801757,9.39566578091569,89.6441416338565,0.263996769100551,0.575659595913314,0.160343634986135,0.0513011052384439,0.512555565513312,0.436143329248244,1,0.263996769100551,0.0513011052384439
42,1684.60328525019,9.36104214475367,89.9794733962559,0.0976248768531604,0.423669533012117,0.478705590134723,0.43457522128679,0.182489170485975,0.382935608227234,1,0.0976248768531604,0.43457522128679
43,1705.65259757526,2.7000478517136,315.855994272982,0.018468301743093,0.978206028110092,0.00332567014681454,0.014674090596745,0.978122790749294,0.00720311865396075,1,0.018468301743093,0.014674090596745
44,1711.50960816601,3.05992660180805,279.665140849246,0.0435226110283336,0.88449677314835,0.071980615823316,0.0177394471127764,0.951418138051449,0.0308424148357743,1,0.0435226110283336,0.0177394471127764
45,1715.04198539333,2.9491500499938,290.76885819983,0.0042182527141053,0.993063117017964,0.00271863026793037,0.00686146357879994,0.985276948299005,0.00786158812219538,1,0.0042182527141053,0.00686146357879994
46,1716.38909919989,3.94416882594214,217.585653016501,0.00172763703003852,0.997020826692599,0.00125153627736256,0.00462407419862174,0.992868218205077,0.00250770759630181,1,0.00172763703003852,0.00462407419862174
47,1722.17575633875,63.0247579130524,13.6626923558725,0.513433399855997,1.61829487350192e-05,0.486550417195268,0.475440598051725,9.4728809957973e-06,0.524549929067279,1,0.513433399855997,0.475440598051725
48,1747.94175734961,1.3676464012831,639.032777664508,0.0546111408521239,0.937204194148113,0.00818466499976331,0.00567919631121772,0.988791325156678,0.0055294785321043,1,0.0546111408521239,0.00567919631121772
49,1768.92109953355,5.90525762287151,149.775099792631,0.055327103078774,0.881221802832677,0.0634510940885487,0.0956484979961104,0.860157025744698,0.044194476259192,1,0.055327103078774,0.0956484979961104
50,1777.3741617871,10.2326327362729,86.84833158756,0.0115982878016823,0.987036687214023,0.00136502498429503,0.0201923141353488,0.967656758081401,0.0121509277832499,1,0.0115982878016823,0.0201923141353488
51,1777.67370688617,11.7801430282779,75.4521274749771,0.0104235192386604,0.984602530142305,0.00497395061903462,0.00511939012568886,0.988078357557078,0.00680225231723331,1,0.0104235192386604,0.00511939012568886
52,1784.39528276771,42.4447244789807,21.0202245941232,4.20437847512843e-05,0.999950733668923,7.22254632628606e-06,5.58063196069867e-05,0.999767535682699,0.000176657997693521,1,4.20437847512843e-05,5.58063196069867e-05
53,1786.1323880182,19.0634848873023,46.8469537069766,0.225386477045205,0.769482286698581,0.00513123625621431,0.0195865483921419,0.757294858446277,0.223118593161581,1,0.225386477045205,0.0195865483921419
54,1795.24395444297,249.7193529942,3.59452307744178,0.759306205558265,1.02394872581278e-05,0.240683554954477,0.363575948243604,4.54369286625001e-06,0.63641950806353,1,0.759306205558265,0.363575948243604
55,1800.87539252405,19.512777963859,46.1460535209179,0.0250526776641998,0.707046063820371,0.267901258515429,0.034288069512135,0.924165026849768,0.0415469036380974,1,0.0250526776641998,0.034288069512135
56,1805.15313523805,241.203171450188,3.74197636868726,0.730464165728065,2.43078981022116e-06,0.269533403482125,0.724998019014914,1.9027576321451e-05,0.274982953408765,1,0.730464165728065,0.724998019014914
57,1813.02369453601,17.3457642826838,52.261280188903,0.0301598424127011,0.964198430916542,0.00564172667075703,0.0194437847234603,0.978623814241589,0.00193240103495117,1,0.0301598424127011,0.0194437847234603
58,1815.8842125687,73.3659534460818,12.3755238450165,0.688937003427025,6.04195384767665e-06,0.311056954619127,0.688406870141866,3.4075028498944e-05,0.311559054829635,1,0.688937003427025,0.688406870141866
59,1817.55890136152,16.441887406671,55.2722098262295,0.0135715651916506,0.986030585054109,0.000397849754240249,0.00129251901201114,0.991950109195531,0.00675737179245753,1,0.0135715651916506,0.00129251901201114
60,1817.81953540997,246.963770998626,3.68033644785106,0.717041279994541,6.94488076290979e-06,0.282951775124696,0.902957121872541,1.78828414031164e-05,0.097024995286056,1,0.717041279994541,0.902957121872541
61,1823.37903800858,241.121487339171,3.78103805291261,0.569914396838062,1.5283508268443e-05,0.430070319653669,0.692311772007425,2.86801254980966e-05,0.307659547867077,1,0.569914396838062,0.692311772007425
62,1823.82490621111,82.393391394214,11.0677863560984,0.696286308020179,1.24107657608191e-05,0.30370128121406,0.74151790910392,2.10257992119757e-05,0.258461065096868,1,0.696286308020179,0.74151790910392
63,1838.47637930241,8.16186868544291,112.625946958778,0.0289218687543903,0.958227337843433,0.0128507934021766,0.0133417958936426,0.980343474278939,0.00631472982741817,1,0.0289218687543903,0.0133417958936426
64,1839.75417712775,97.9603014224725,9.39030479905046,0.43046319117529,1.34343777035767e-06,0.569535465386939,0.563826152391666,5.94429465318257e-05,0.436114404661802,1,0.43046319117529,0.563826152391666
65,1881.86956498813,7.35572605363934,127.918682076058,0.00162220705885319,0.996723278098857,0.00165451484228948,0.00099922972401939,0.998177957119384,0.000822813156596789,1,0.00162220705885319,0.00099922972401939
