comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Forward,Backward,pml_fraction,mode_class,matched_theory_index,theory_real_Hz,theory_imag_Hz,theory_Forward,theory_Backward,pair_quality
35,1695.52952330473,55.4622803876531,15.2854292273401,6.87949847055359e-07,5.50048827319811e-07,0.368221505688126,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
36,1695.81530588029,55.8700757023366,15.1764185439377,1.77157507841576e-06,1.81130085401362e-08,0.36880001339971,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
37,1696.12174008008,52.8142788433386,16.0574164527668,6.65463839732566e-06,1.46471690671789e-06,0.349550092240131,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
38,1699.69740668137,47.7943517545619,17.781362695427,8.89440170277151e-07,1.35733995128264e-07,0.288496307649209,physical,21,1699.0714814088,6.44364640092088,1.16918910534221e-07,5.38091279831568e-07,ambiguous
39,1707.66761270323,86.6986560640645,9.84829344667912,2.82414585314185e-06,3.20270138041379e-06,0.394454220009851,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
40,1707.89981054491,86.90044002729,9.82676157916212,5.69093270230129e-06,7.10424632345164e-07,0.394890184368517,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
41,1710.29665486246,85.4805887833037,10.0040060510002,2.72614588214454e-05,1.02516437582224e-05,0.372513320350036,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
42,1711.03147142273,87.8991981642239,9.73291854281753,4.91718677342258e-06,9.53144445912648e-07,0.376193417948671,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
43,1716.05725249063,99.3040501772569,8.64041924487208,0.802864950919261,0.806368837301667,0.0336622705694516,physical,22,1700.12912420619,6.34851915834714,2.18704370569367e-06,1.11732218131015e-06,low
44,1716.41298504369,138.044219314656,6.21689554827113,1.51974907553725e-05,0.000112858909118709,0.488994892955933,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
45,1716.49636552996,137.86484656837,6.22528660588874,2.62507280416283e-06,3.08074426622838e-07,0.48778076272906,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
46,1716.51804272291,138.071556306308,6.21604510242089,9.12844003265303e-05,0.00110831756632049,0.488365479832559,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
47,1716.5181898607,137.866723096732,6.2252810225145,2.03345941904945e-05,1.80265590387317e-06,0.487738500419204,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
48,1716.65273987886,52.9466512837993,16.2111549857746,8.85520670196825e-07,1.23726283181833e-07,0.213736441962217,physical,23,1729.50750764929,60.0221678416418,5.67121443587055e-08,3.60704558653744e-08,moderate
49,1718.68612145878,104.953585217051,8.18783902381426,0.803604228558071,0.808662950246179,0.0355804936926124,physical,25,1751.09783856892,65.3962147026478,0.657893410562264,0.658742176074473,low
50,1721.13143167498,201.154312450052,4.27813704491757,0.00206865846442994,0.0124962294573652,0.602514520725936,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
51,1721.13345717564,201.150742205875,4.27821801277293,0.000902885392917827,0.00390061873818295,0.60248980363212,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
52,1721.14018032583,201.153616501744,4.27817359254615,9.70163104435689e-05,6.52147777212485e-07,0.602451484267054,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
53,1721.14099798846,201.153820352366,4.27817128944779,4.50078403796439e-05,5.85217071771932e-06,0.602447522797328,PML-dominated,NaN,NaN,NaN,NaN,NaN,not-applicable
54,1732.69628547312,79.0675566177807,10.9570622869322,2.1250557763984e-05,6.40580013407294e-06,0.241133931709241,physical,24,1738.44745669209,10.1944698084108,2.97508381732367e-07,1.07368298236868e-06,moderate
55,1737.32374983202,110.316658266094,7.87425841726203,0.494653791819904,0.498571327047937,0.0368133364999646,physical,26,1759.66587364755,71.698426233875,0.657007249788173,0.659126687268247,low
56,1744.173116348,88.3145501276916,9.8747777904442,2.27452993404872e-06,9.52292404505481e-07,0.229384074927617,physical,27,1768.49325697557,18.2653841893326,4.95919698004043e-06,7.9797489769807e-06,low
57,1744.69521819032,88.6775638171568,9.83729786368334,3.54324111574787e-06,9.5652115572166e-07,0.22927743342849,physical,28,1780.6800488739,73.8387737388407,0.497624241221388,0.496482520510376,low
58,1769.73636740708,71.8982827338847,12.30722278832,6.9040380508602e-06,4.60605715590309e-07,0.140014779061045,physical,29,1785.01269050988,25.7515798880915,4.08786483913653e-08,2.22782817874054e-07,moderate
59,1808.1266262528,101.860974263249,8.87546304819299,9.07884572037795e-10,1.37797645195187e-08,0.0454292787370122,physical,30,1786.92431116142,24.9901210732062,1.07581065516997e-06,2.83716889411374e-07,low
60,1825.90867817339,80.8172185198473,11.2965325435258,5.7131749430225e-06,2.21260991680186e-06,0.100754260364436,physical,31,1816.21203637794,26.0949369443491,3.01194558714374e-06,9.24917470925864e-07,moderate
