comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Forward,Backward
37,1704.56224746431,60.5565024897901,14.0741470971817,6.93919263048971e-09,7.55791932620232e-09,6.66598236332543e-09,1.34245380611578e-08,3.16550916392266e-09,1.32018207738e-08,0.327891211254782,0.450610819760019
38,1711.31713327294,89.4274304531116,9.56818911491709,3.73017292778751e-10,5.23699914538673e-11,6.91987747858315e-10,1.89027028462743e-09,1.74127253129326e-11,9.41805861541255e-10,0.333833567124484,0.663371702744909
39,1711.53061649505,89.3772021308924,9.57476054122013,6.45959528414233e-09,3.40213065772855e-09,5.95059864443763e-09,1.26877065264277e-08,5.89333610202918e-10,1.29121060536997e-08,0.408516486547179,0.484464305717319
40,1713.29469971454,84.668328783489,10.1176834616384,7.90358082474491e-09,3.98976443446988e-09,8.08636280409664e-09,1.48258655910875e-08,1.3133282168686e-09,1.278772900226e-08,0.395580395854642,0.512528266084751
41,1713.6680285759,85.1126780977825,10.0670550314909,2.13114390134987e-10,4.82476874579302e-11,9.0397582599748e-10,1.90530177964183e-09,6.81970705405221e-12,5.92666382981843e-10,0.182877764018817,0.760663927954495
42,1714.20191700681,105.242348814859,8.14406907632975,3.64632050613167e-05,5.77851875400168e-13,3.59383448175086e-05,3.56242744439657e-05,3.22987936994671e-12,3.61520597059816e-05,0.503624643827692,0.496323380997401
43,1715.30858420842,105.413784503928,8.13607343802602,3.58859917658944e-05,3.43034314038776e-08,3.53828699287311e-05,3.29883347340083e-05,1.63786136938974e-08,3.34419290932426e-05,0.50328750066656,0.496463531070468
44,1716.83335858735,138.038059874239,6.21869562695782,1.52660423310263e-10,5.69941382011181e-11,1.24701283943801e-10,2.63531296262193e-11,7.18764919933206e-12,1.412594356615e-11,0.456580692054107,0.552862212964056
45,1716.86166439004,138.021798574839,6.21953083541044,5.32068509004737e-10,3.33571971615034e-10,5.03049810824241e-10,1.46755963070734e-10,3.90212392006489e-11,9.05145466936491e-11,0.388742809334453,0.531163031905479
46,1716.9865095912,138.121253794808,6.21550435728722,1.46432774138065e-10,6.9877100618301e-11,1.92438223794768e-10,4.28740659286888e-11,1.59653835793918e-11,8.64592525529439e-11,0.358246985507986,0.295075353878123
47,1717.01111002861,138.099130104158,6.21658915857613,7.62299122678532e-10,4.28555518706974e-10,7.86148997535386e-10,2.73716383594008e-10,5.12570291258973e-11,4.08273647584902e-10,0.385583065034022,0.373293530123701
48,1721.45516704182,201.116183270501,4.2797529742459,3.68146408423873e-12,3.38934244725097e-12,3.24916931181478e-12,3.85490402825233e-13,3.6498616498652e-12,1.28573473280362e-11,0.356731850940062,0.0228199409778789
49,1721.46040024709,201.111442747734,4.27986686567212,2.09284916502026e-11,1.15492369936338e-11,1.03620517088024e-11,3.98568410333505e-12,1.84268129894824e-12,1.36459395355262e-12,0.488529387357455,0.554109081695466
50,1721.46858861476,201.108673772219,4.27994615131454,1.34724315148076e-12,6.41969833409276e-13,1.02217504027809e-12,1.56647682933681e-11,1.38413932432555e-12,3.96818160286554e-11,0.447382781700989,0.276124951111499
51,1721.47202706524,201.102095402381,4.2800947041869,1.81460062699228e-11,5.56832490725353e-12,2.25684026106197e-12,4.43560540718692e-12,3.47018270832732e-12,1.64140961123737e-12,0.698698028045273,0.464597626878323
52,1724.19709626787,76.839612426426,11.2194546655138,7.0986522464344e-10,1.67724273971889e-11,1.22040425368087e-09,1.37340798941729e-09,1.07293875419141e-12,9.01091941445859e-10,0.364586515861552,0.603543840654173
53,1725.07841265377,78.1084688502828,11.0428384914341,1.36326850450065e-08,5.78767364186461e-09,1.36072270218983e-08,1.21232538608248e-08,1.7740929188151e-09,1.09029004472366e-08,0.412766623791905,0.488836008363925
54,1766.68672753308,80.6989678034914,10.9461544281155,1.88325895138609e-09,3.40627313357458e-12,1.42013352303182e-09,3.91441435756284e-10,6.10711836586448e-12,5.26394318376949e-10,0.569511208621494,0.42366411106945
55,1767.14484244587,80.2794907045042,11.00620362024,1.82324039595216e-08,9.30981893647872e-09,1.73867917870684e-08,3.98926224180009e-09,1.97718366150952e-09,3.4522659500147e-09,0.405804669613473,0.423546478958489
56,1801.46606646263,104.712709983924,8.60194558396591,7.54162340274151e-08,7.79022796797256e-05,7.38583001793857e-08,5.43274639464913e-08,7.87550722314138e-05,5.57790609026452e-08,0.00096623616002195,0.000688865032746496
57,1817.15915518322,84.3176518003741,10.7756745852305,1.26497899183437e-08,1.82361287752508e-12,1.15311705394835e-08,9.74086287712351e-09,1.22865272510207e-12,1.12192907781001e-08,0.523090719470459,0.464705177073638
58,1818.21917547836,84.4354258700897,10.7669213291814,1.42841752817029e-07,3.78789134115774e-09,1.39340498985495e-07,1.20746633653005e-07,2.34514997161594e-08,1.26325190457831e-07,0.499498833153572,0.4463446328577
59,1826.73176916116,100.451800858711,9.0925784980725,3.64477363689039e-05,1.62571410305504e-12,3.60549843440713e-05,3.63797689845133e-05,4.75531137487767e-12,3.68029985706567e-05,0.502708521738562,0.497108374497899
60,1828.27845635112,99.3931368585087,9.19720673950441,3.16954202246568e-05,1.81341891364275e-08,3.13423111676953e-05,3.32377903343812e-05,1.04070493301842e-07,3.35831848593568e-05,0.502656175319584,0.496642026810267
