comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Forward,Backward,pml_fraction
48,1364.73477528606,98.4891608859785,6.92835009969283,2.52523079736303e-05,8.18334052064436e-09,2.52909457582884e-05,2.73628349699511e-05,4.46686560774552e-08,2.73628096200982e-05,0.499536896200284,0.499592449781837,NaN
49,1401.73166057196,120.755343772282,5.8040150306529,1.08481257884574e-07,0.000103445916867953,1.07625132875143e-07,6.21210151794034e-08,9.95236107729802e-05,6.23838078856864e-08,0.00104648987617996,0.000623403812584177,NaN
50,1441.63110540862,108.329487196854,6.65391825768048,2.75974880121503e-05,1.98924290466798e-12,2.76345663225569e-05,2.76664640341672e-05,2.24269397990238e-12,2.76160097253777e-05,0.499664322658639,0.500456311563302,NaN
51,1446.59805717147,106.623497872612,6.78367379627606,2.60847565301408e-05,2.86493747892943e-07,2.61516417572909e-05,2.62688479689748e-05,3.19647896746917e-08,2.62159262822365e-05,0.496635952806965,0.500199525879237,NaN
52,1526.10413734451,107.257954954004,7.11417692980886,2.93294315665072e-05,3.32116761147452e-11,3.11351476941689e-05,3.1067205343147e-05,3.4666742099008e-11,2.92741225248703e-05,0.485067717583045,0.514857537816632,NaN
53,1526.33843820155,107.483065009123,7.10036710467828,2.92677319257279e-05,1.25898982382413e-07,3.10853565379283e-05,2.98164614924284e-05,6.8821263788683e-08,2.80682498650428e-05,0.483932240959582,0.514489111255496,NaN
54,1536.66941368393,110.390011265095,6.96018324517471,2.89630715742836e-07,9.61933267654536e-05,2.93139256007795e-07,1.16638872761652e-07,9.97812820529629e-05,1.19037207589965e-07,0.0029927918722464,0.00116619096339825,NaN
55,1622.17010415876,101.313722721979,8.00567810843477,3.29520891072991e-05,6.68371587146488e-13,3.27638689801088e-05,3.28993326841387e-05,7.92887808378645e-13,3.31117156760452e-05,0.501432068118478,0.498391301247903,NaN
56,1625.50994736659,99.3647320008201,8.17951155623896,2.95586796987281e-05,8.28490294651078e-09,2.93950943859288e-05,3.15697551397845e-05,1.99382812845359e-07,3.17194361852674e-05,0.501316952057978,0.497250971036378,NaN
57,1668.85438179358,1.17073121428789,712.740192379974,6.32672484370445e-11,4.56937436438584e-11,1.17972131598988e-10,1.23940172275953e-10,4.74943667976021e-11,9.6077613022128e-11,0.278792480406203,0.463306699546203,NaN
58,1668.85505654384,1.16830149930305,714.222765929597,1.48125169965942e-11,1.17944395395095e-11,3.43403986690946e-11,4.83157501466621e-11,1.51734698412639e-11,2.44215439203326e-11,0.243037896340591,0.549599935192045,NaN
59,1668.86742323147,1.17066781056032,712.784364692105,1.2773024452157e-10,6.0489050404699e-11,8.9777304616231e-11,1.09188007647987e-10,6.2738976140151e-11,1.71785821664117e-10,0.459466931364543,0.317672213301213,NaN
60,1668.86806797748,1.16827129908773,714.246797503569,3.46867981800314e-11,1.67573453447714e-11,2.40253024706756e-11,3.58102028556751e-11,1.66868614245448e-11,4.50094084762523e-11,0.459613791018283,0.367259750489724,NaN
61,1671.26683505172,10.675337598515,78.2770015294034,2.17041264001576e-10,1.66097097547305e-10,4.550521340178e-10,5.50044941679333e-10,1.82025557454715e-10,3.89340753802104e-10,0.258940258985924,0.490493510065259,NaN
62,1671.28134339576,10.675551227967,78.2761146336625,7.30252864725935e-10,3.68169369472009e-10,5.36347721111378e-10,7.21193695811843e-10,3.70716766527784e-10,1.13885465907748e-09,0.446700688591846,0.323294321256781,NaN
63,1671.28664902512,10.6686835815187,78.3267511991962,1.30979624973549e-10,1.01752922405653e-10,2.76457886656792e-10,4.16609964554672e-10,1.29996586609242e-10,1.99697487586649e-10,0.257231118690439,0.558230885701954,NaN
64,1671.3001741657,10.6683658434004,78.3297179108078,2.63341128326023e-10,1.37610710595114e-10,1.96465281473226e-10,3.20707276753054e-10,1.45172855067509e-10,3.7895529570885e-10,0.440799433655647,0.379609171564823,NaN
65,1672.65695365347,102.862639569909,8.13053680445696,3.49069578389282e-08,9.11437285069614e-05,3.57453403763985e-08,1.60580844826022e-07,8.88276127901481e-05,1.6345660400238e-07,0.000382691386279159,0.00180121001008478,NaN
66,1676.15752629579,30.2571597079899,27.6985272654852,5.6813159119436e-10,4.11186011955131e-10,7.21590716692623e-10,1.28483703464346e-09,4.38241421889976e-10,1.30314540643727e-09,0.334016586647714,0.424567742778354,NaN
67,1676.16410484782,30.2912782261063,27.667437675232,1.72527751365816e-10,1.62646749734293e-10,3.36351293467852e-10,7.2639735639465e-10,2.22196993484046e-10,4.20777740020909e-10,0.256919023455852,0.530460173500327,NaN
68,1676.17055839254,30.2565515376361,27.6992993783107,6.85721859191936e-10,3.81422888272627e-10,3.97849310853303e-10,7.63033338663147e-10,3.59016362800829e-10,1.46497978370337e-09,0.468071426842028,0.294945744931775,NaN
69,1676.17861999572,30.291663325498,27.667325527562,4.17972370085832e-10,2.75259051056858e-10,2.96621860362983e-10,6.60365528713855e-10,3.10456792677506e-10,8.43303167305008e-10,0.422256891900233,0.364013147286957,NaN
70,1683.42036765867,60.4510569072912,13.9238290758125,8.22268585863628e-11,3.10841067015287e-10,1.46313600244569e-10,9.04677240453136e-10,3.32516294176079e-10,5.94492269699605e-10,0.152446560822341,0.49390416102757,NaN
71,1683.43506119908,60.4509547037655,13.9239741493629,1.85350600759307e-10,4.40785538670433e-10,1.35649991854231e-10,8.38871892197268e-10,4.29575671223178e-10,1.02537237680646e-09,0.243310547603307,0.365709564855508,NaN
72,1683.4470397926,60.4594461608182,13.9221176068562,2.24490549912825e-10,5.38271213606977e-10,3.1723093493397e-10,1.53093939709455e-09,4.49595606147476e-10,1.05948508462483e-09,0.207863025587329,0.503595158204625,NaN
73,1683.46170967014,60.4597092892454,13.9221783354621,2.53668287709384e-10,4.52755118130332e-10,1.86604316119811e-10,9.49897693496714e-10,3.36622915022173e-10,1.21510418319811e-09,0.284054214076101,0.379712296041305,NaN
74,1692.34354725057,-17.5774510932156,48.1396175781075,1.5138931915924e-09,1.9886847533054e-13,1.55080497021529e-09,1.45592004201193e-09,2.30017097620865e-14,1.5502211563537e-09,0.493945857441287,0.484311549573845,NaN
75,1693.34120492598,101.197024056635,8.3665563326166,2.99148626431097e-11,4.22745201269071e-10,3.71999139038352e-11,3.34450476477334e-10,1.77636459682984e-10,2.53244893179186e-10,0.0610681909072908,0.437000610265969,NaN
76,1693.35244136914,101.188943969359,8.36727993663966,2.54190539290965e-11,8.29055068050352e-10,7.78489998001188e-11,5.54294984822931e-10,4.36752038442771e-10,5.34929579880594e-10,0.0272642105888976,0.363239504249326,NaN
77,1693.35736071077,101.196268852008,8.36669859432852,1.749805298647e-11,3.51189593787142e-10,2.17248355352722e-11,3.16885976003466e-10,1.36443675390128e-10,3.2993717789096e-10,0.0448193994284897,0.404569635985879,NaN
78,1693.36836843944,101.18789296211,8.36744554545431,6.60737468351766e-11,8.44663502235527e-10,7.72681003781348e-11,5.23151775427424e-10,4.05794161233148e-10,5.18059618062959e-10,0.0668758998845867,0.361540958650555,NaN
