comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Forward,Backward,pml_fraction
28,1096.2390181547,216.116697939073,2.53622008065231,1.53372069538929e-05,5.25879338286272e-11,1.39244389009938e-05,1.28751484547679e-05,1.83764238687959e-11,1.74047959205766e-05,0.524139327861056,0.425203576382074,NaN
29,1096.29285124004,216.109742090161,2.53642626342745,1.45594841970852e-05,2.08073970262764e-09,1.00522884483736e-05,1.67848495607018e-05,4.24138203555913e-10,1.8200464222439e-05,0.591515841475778,0.479762627801015,NaN
30,1096.49314446992,216.229331094603,2.53548660331883,1.1862665396211e-05,6.17997398170434e-11,1.8469464809107e-05,1.8538982416851e-05,1.04800926365894e-11,1.0878835625718e-05,0.39109159648709,0.630195474916502,NaN
31,1096.50576652814,216.17060395703,2.5362046144491,1.36867368458653e-05,2.94988130047393e-09,2.13168861249771e-05,1.50079224008819e-05,6.69289664795721e-10,9.68509341837858e-06,0.390976200488802,0.607763577395641,NaN
32,1099.81480138652,119.663079618544,4.59546421875677,1.89318797053534e-05,8.24409572393548e-13,1.92525557293601e-05,1.87306663038802e-05,6.47641055663165e-12,1.85597316678215e-05,0.495800948241843,0.502291851780342,NaN
33,1107.71664461314,121.146330434587,4.57181261966185,2.47942951470172e-05,2.00871811783677e-08,2.51010361912475e-05,1.3624345177165e-05,1.36750242803928e-07,1.33653357770252e-05,0.496726179654475,0.50225350611822,NaN
34,1116.33439152306,310.111104281156,1.79989425743193,1.4098984540857e-05,4.43767857925299e-12,1.00136151059633e-05,1.02710642669263e-05,7.29420099956857e-13,1.10973640675739e-05,0.584714305076686,0.480665388934396,NaN
35,1116.33926192513,310.103015408802,1.79994905959473,1.09610193670639e-05,2.93467091729013e-12,1.00824540730316e-05,1.02236543381807e-05,4.29099196979488e-13,1.42266892947391e-05,0.520874933963259,0.418139487618175,NaN
36,1116.34609958733,310.10630016873,1.79994101857964,1.58635505743575e-05,2.42577693750696e-11,1.18976221053857e-05,7.32915752927043e-06,1.0848417824178e-11,1.12603015347213e-05,0.571428912451601,0.394263933495908,NaN
37,1116.34916707061,310.099003602664,1.79998831679739,1.22445684535248e-05,1.30822588715117e-11,6.85436816771423e-06,1.23537133653001e-05,4.62896358405851e-12,1.49113384331138e-05,0.641112136720391,0.453096930065234,NaN
38,1123.00970204847,153.305970494776,3.66264176934563,1.82881799536253e-07,9.35762768369318e-05,1.82727522393794e-07,1.50772240508625e-08,9.06092417690856e-05,1.51986689506689e-08,0.00194675460557592,0.000166342721582785,NaN
39,1139.34451426882,422.62478991291,1.34793857514085,1.2815705091511e-06,3.05550919794913e-14,1.2788252844209e-06,1.1927598475717e-05,3.33100944649703e-14,1.2840463841191e-05,0.500536087848065,0.481571723579417,NaN
40,1139.35200265877,422.62094935911,1.3479596839515,8.52876897405193e-08,9.4546059131794e-15,8.09476405126154e-08,1.33389580935594e-05,4.86367235373104e-12,1.43726960044186e-05,0.513053902319832,0.481348233680956,NaN
41,1139.35205118984,422.6222788782,1.34795550084831,1.39717380163868e-05,7.35149214667685e-13,1.38917115303198e-05,8.07397214994225e-08,4.52020077079281e-14,8.65237903993876e-08,0.501436034484393,0.482709580609701,NaN
42,1165.78536134058,123.833797927376,4.70705647752269,2.29305783096447e-05,1.15838419326196e-13,2.27246916195541e-05,2.3102258815804e-05,4.05676478842054e-12,2.33084644605838e-05,0.502254795273898,0.497778426310103,NaN
43,1167.43321918183,119.342367073413,4.89110970316053,1.78174717834987e-05,7.45894359462509e-08,1.76926177005109e-05,2.71028631685668e-05,8.24261640082409e-08,2.72916686673971e-05,0.500706268098619,0.497510583622908,NaN
44,1238.54643052222,124.291942244826,4.98240838526192,2.51234980782291e-05,1.34374117578613e-12,2.51122663676546e-05,2.48731105142513e-05,3.85990636852873e-12,2.48701693703006e-05,0.500111776606337,0.500029524428458,NaN
45,1245.52334629692,124.189811117432,5.01459554165506,2.7049213942249e-05,1.91007899523852e-06,2.70821647921786e-05,2.0603114759305e-05,2.00514654887503e-06,2.05926115526143e-05,0.482664353106758,0.476914316654994,NaN
46,1258.2216515788,137.900502172875,4.56206334187773,5.06991457281395e-06,8.05704359936846e-05,5.07178733354534e-06,1.59917492045999e-06,8.48363848881251e-05,1.60137161099005e-06,0.0558901453562974,0.0181648189535195,NaN
47,1319.23669713957,122.076298404306,5.40332855101145,2.61257206948465e-05,4.07026398066644e-13,2.59178837638329e-05,2.60682477785698e-05,4.00900906390867e-12,2.62756265496263e-05,0.50199675372722,0.498019035017528,NaN
48,1319.30224742893,120.865759704305,5.45771710142132,2.39787110285696e-05,2.27920405375542e-08,2.38075573992263e-05,2.70623482005924e-05,6.65553350834344e-08,2.72603897212415e-05,0.501551605358403,0.497567564865362,NaN
49,1390.59973290855,129.83911551891,5.35508782292195,2.90919497316014e-07,0.00010376059045253,2.88523397608549e-07,2.2664741105972e-07,0.000100554985191624,2.2821933886191e-07,0.00278818673890247,0.00224381490224222,NaN
50,1408.28677957762,118.472807197118,5.9435021963921,2.68920597780519e-05,2.01295827908759e-12,2.68864642631807e-05,2.68901094969003e-05,2.43377783076745e-12,2.68946754209005e-05,0.500052004975995,0.499957531134704,NaN
51,1414.22200447406,116.628346339722,6.06294288163287,2.54839123004972e-05,5.13771058511577e-07,2.5498814428018e-05,2.49443928181502e-05,1.28212471937854e-07,2.49328294171926e-05,0.494866901549123,0.498833636067129,NaN
52,1504.03238823443,114.384484738564,6.57445977779255,2.92650468017148e-05,6.32437889260311e-12,3.02413222985481e-05,3.01893251843816e-05,1.06191897454818e-11,2.92029045752015e-05,0.491796830051861,0.508304199199251,NaN
53,1504.29622384695,114.567569368858,6.5651049076714,2.90699325902615e-05,3.89943361798049e-08,3.00755666695962e-05,2.90794606666302e-05,1.06064523282607e-08,2.81191843072548e-05,0.491174813265746,0.508299967954239,NaN
54,1527.12882519542,119.767052294723,6.37541292006362,1.25656300544281e-07,9.83445052379483e-05,1.26164968766816e-07,7.1086878469979e-08,0.00010179645035409,7.27758712478734e-08,0.0012744521524849,0.000697338239461649,NaN
