comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction
46,1716.98650959117,138.121253794841,6.21550435728559,0.358246985558245,0,0,0.295075354108052,0,0
47,1717.01111002859,138.099130104148,6.21658915857651,0.385583065070013,0,0,0.373293530190611,0,0
48,1721.45516704182,201.116183270533,4.27975297424521,0.356731850438414,0,0,0.0228199408537765,0,0
49,1721.46040024709,201.111442747758,4.2798668656716,0.488529387125473,0,0,0.55410908092313,0,0
50,1721.46858861474,201.108673772226,4.27994615131434,0.447382778045865,0,0,0.276124950821855,0,0
51,1721.47202706526,201.102095402372,4.28009470418715,0.69869802773368,0,0,0.464597627130249,0,0
52,1723.44716841991,279.398987874082,3.08420438730548,0.642914806606562,0,0,0.10481143586964,0,0
53,1723.44837680708,279.399389670718,3.08420211446816,0.621613809270238,0,0,0.0702996660612531,0,0
54,1725.0784126539,78.1084688502617,11.0428384914379,0.412766623785392,0,0,0.4888360083805,0,0
55,1741.05995906829,435.321200308298,1.99974175141856,0.23949540951295,0,0,0.150919228255827,0,0
56,1741.06017667791,435.320294687388,1.999746161534,0.466892681027316,0,0,0.079473439455422,0,0
57,1741.07277514602,435.31742812425,1.99977380029117,0.343020193850066,0,0,0.0450397580184007,0,0
58,1767.14484244594,80.2794907045213,11.0062036202381,0.405804669617926,0,0,0.4235464789557,0,0
59,1801.46606646263,104.712709983927,8.6019455839656,0.000966236160019868,0,0,0.000688865032755872,0,0
60,1826.73176916116,100.451800858713,9.09257849807232,0.502708521736572,0,0,0.497108374499883,0,0
