comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,po9_real,po9_imag,po10_real,po10_imag,po11_real,po11_imag,po12_real,po12_imag,po13_real,po13_imag,po14_real,po14_imag,po15_real,po15_imag,po16_real,po16_imag
11,1510.22146268127,122.685649533979,6.15484153369949,3.03360054407988e-05,6.01772159297076e-13,2.93594336208206e-05,3.11118810486108e-05,2.96577085220444e-13,2.9106244093496e-05,0.508179613247785,1.00807057070076e-08,0.491820376671509,0.516653097750277,4.92504678715761e-09,0.483346897324676,1.28501520015465,1.70793286149662,-0.739482834137768,-0.944353380181393,-1.28521411058091,-1.70765247794133,0.73942906321868,0.944511434576638,1.24768775650759,1.59183999737258,-0.825711688283392,-1.13447244193209,-1.24758869134078,-1.59203076227444,0.825612216422525,1.13430795473774
12,1548.16512362716,103.698075787909,7.46477266749669,9.27419062827546e-13,8.65827595265392e-05,2.5331654352512e-12,2.04093644470262e-12,8.66815649766345e-05,3.75912691576748e-13,1.07113590607575e-08,0.999999960031485,2.92571563652678e-08,2.35452185057748e-08,0.999999972118073,4.33670851693675e-09,-1.49759915471613,0.228593506101472,-1.49999008001553,0.22527373506301,-1.49794224926869,0.22960003764716,-1.4995843198435,0.225007353609006,1.49901934689809,-0.226248355463103,1.5006544864432,-0.225677330695524,1.49944258209021,-0.22693136633674,1.50010873706043,-0.225573290509855
13,1618.27619685483,103.977750787484,7.78183882897394,3.05165425071075e-05,6.72602745135911e-16,3.14108739262425e-05,3.17579920208113e-05,2.61523295830537e-13,3.01895591697902e-05,0.492779196426187,1.08611465464977e-11,0.507220803562952,0.512659359028176,4.22168898850911e-09,0.487340636750135,-1.064999273317,0.620704683353586,-1.79762633044847,1.08794424553332,1.06501381623778,-0.620722462143434,1.79762565646164,-1.0879361190335,1.20141268727674,-0.690840988546277,1.70965458512535,-1.0456457923592,-1.20130151664521,0.690676564409872,-1.70964156117899,1.04550104004503
14,1662.80230949227,0.990594723316899,839.294956026294,6.62553476077556e-15,5.29143114198526e-07,3.78880516139146e-13,2.11485227595934e-13,5.19166110593846e-07,4.41491892028746e-14,1.25212437920425e-08,0.999999271452732,7.16026023849253e-07,4.07355409273469e-07,0.999999507605975,8.50386158942034e-08,0.140964253268938,0.0193211085581346,0.0913490180629754,-0.0634590723526275,0.140827572583935,0.0195094348610192,0.0915821810059833,-0.0632678320631951,0.175592785159111,0.0428683339478129,0.0486884061741065,-0.110382295498302,0.175628075159174,0.0426588803234818,0.0485705682702846,-0.110575185897526
15,1665.99268954057,0.497018554751826,1675.98641299463,3.29389726086446e-13,2.5885120216947e-07,4.79515334383523e-13,3.86259119267183e-13,2.50160227557994e-07,9.34780862882746e-14,1.27250209383772e-06,0.999996875028874,1.85246903198854e-06,1.54404392058015e-06,0.999998082283942,3.73672137798869e-07,-0.0803424003735099,-0.0403225345257026,-0.0514317422147829,-0.0591644640502762,-0.0806916520339312,-0.0403291940187017,-0.0518521949610487,-0.0590916826921635,-0.000769096055280912,0.036968463252854,0.134850367003466,0.0546689515530259,-0.000810312420659459,0.0373077133001622,0.134986834082557,0.054880940066252
16,1667.07548297936,0.1114468280868,7479.24149838055,1.61492382108201e-08,8.27097236198198e-13,3.17716581658397e-08,3.37244576162288e-08,9.64243606348253e-13,3.16058862345486e-08,0.336992016149355,1.72593382758601e-05,0.662990724512369,0.516206679460746,1.4759288226025e-05,0.483778561251028,-0.0313135344545938,0.0413020749420955,-0.0130168976319274,0.0405419003254699,0.0310771876988406,-0.0414665864483169,0.0127603607065658,-0.0407040657212401,-0.0452046162787522,0.0585482292033763,-0.0146142250253014,0.0219336275453135,0.0447202073599014,-0.0584468003884853,0.0153175003832947,-0.0214352833241711
17,1667.45530344692,0.987196591211235,844.540650915866,5.67884223489643e-08,2.5950037258899e-13,4.34054584311973e-07,4.56884947316189e-07,5.40853520948727e-13,6.35000382355155e-08,0.115695632932044,5.28682759811374e-07,0.884303838385196,0.877973971475163,1.03933236707195e-06,0.12202498919247,0.0359719710323394,0.124295062978054,0.160111990293868,0.0610923213612284,-0.0354696305355289,-0.124161361444953,-0.160303695487401,-0.0611110945958425,-0.0482122600304314,-0.13143878345819,-0.161767560543868,-0.0568054520809513,0.0485203142049895,0.131424789986603,0.161094270712335,0.0565108249044592
18,1668.65277324633,0.719680522993558,1159.30105090622,3.30311322132982e-14,1.15678750013005e-09,4.87656527691334e-14,8.52526395678954e-14,9.80737747805284e-10,2.19442928643632e-14,2.85521729216783e-05,0.999929294704942,4.21531221367657e-05,8.69175500422163e-05,0.999890709603992,2.23728459652012e-05,-0.789258813159662,-0.338576352804339,0.800007919865125,0.341088560387875,-0.789363304310875,-0.338547522221779,0.800145325059914,0.341078927451832,-0.232006950224954,-0.124121534635149,0.241286799709996,0.128440571234436,-0.231969868188783,-0.124307425027034,0.241229194017887,0.128408726939965
19,1668.65393137292,0.721486343704357,1156.40021875223,7.87636500600546e-14,1.78000792813369e-09,1.28375582911614e-13,3.23073826425438e-13,1.96719894319265e-09,2.68534558795127e-14,4.42438958662246e-05,0.999883643703073,7.21124010603454e-05,0.000164201169929492,0.999822150652746,1.36481773248308e-05,0.714213510032094,0.194888920137584,-0.725887043345117,-0.187584911152874,0.714349075678438,0.195040242576278,-0.725729089319363,-0.187477325205571,-0.208358035223277,-0.165380546240238,0.221598358073274,0.159591843096942,-0.208391225916107,-0.165672341554042,0.221399245953586,0.159517414347486
20,1668.65507230657,0.675065919695458,1235.92009581772,3.40673844912345e-15,5.54267747994708e-09,1.34840858461078e-14,6.4431379463698e-14,5.23991229765608e-09,2.38349679864679e-14,6.14635810895223e-07,0.999996952596848,2.43276734095502e-06,1.22960634596708e-05,0.999983155279017,4.54865752309331e-06,-1.44230011581355,0.495451155760515,1.41833597766949,-0.498808604139612,-1.44234082567965,0.495514837453913,1.41835592902163,-0.498793326008134,1.64051009064979,-0.534203137346854,-1.61703613540458,0.536989962415531,1.64039794337464,-0.534316397980819,-1.61712211328556,0.536971112373601
