% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_200-辐射.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jul 12 2026, 13:07
% Table:              表格 17 {tbl17} - 全局计算 6 {gev6}
% 特征频率 (kHz)                                      Eoz1 (W)                                          Eoz0 (W)                                          Eoz_1 (W)                                         Eof1 (W)                                          Eof0 (W)                                          Eof_1 (W)
1.7136680285756196+0.08511267809778454i           2.1311438996703232E-10-1.0584743467698612E-11i    4.824768760715241E-11-2.3963158767006333E-12i     9.039758266772015E-10-4.4897729467536824E-11i     1.9053017807545303E-9-9.463054362943675E-11i      6.819707080212446E-12-3.387141055095495E-13i      5.926663825550699E-10-2.943593636377524E-11i
1.714201917006787+0.10524234881485536i            3.6463205061426376E-5-2.238635546903919E-6i       5.778518756732873E-13-3.547685255720419E-14i      3.5938344817384946E-5-2.206412082249936E-6i       3.562427444386013E-5-2.1871299291529274E-6i       3.2298793708769974E-12-1.982964130464199E-13i     3.615205970609238E-5-2.219532973459502E-6i
1.715308584208402+0.10541378450393085i            3.5885991765909306E-5-2.2053630685158388E-6i      3.430343140381975E-8-2.1081072869558353E-9i       3.538286992872143E-5-2.1744438639990494E-6i       3.2988334733999663E-5-2.0272884079328357E-6i      1.637861369383024E-8-1.006542886970585E-9i        3.344192909325048E-5-2.05516391586095E-6i
1.7168333585872733+0.13803805987430623i           1.5266042316706982E-10-1.2274312197028342E-11i    5.699413815527869E-11-4.5824833352706024E-12i     1.247012840071188E-10-1.0026321554202545E-11i     2.6353129609542247E-11-2.118863117798875E-12i     7.187649199987858E-12-5.779064960852443E-13i      1.4125943569839392E-11-1.1357641873169826E-12i
1.7168616643899854+0.13802179857484037i           5.320685090622252E-10-4.277400684573783E-11i      3.3357197163006006E-10-2.681648989751016E-11i     5.030498109264954E-10-4.0441138105019066E-11i     1.4675596300464653E-10-1.1797993039049536E-11i    3.9021239193094285E-11-3.1369921804174813E-12i    9.051454662740833E-11-7.276637822267414E-12i
1.7169865095911283+0.13812125379482335i           1.4643277412912847E-10-1.1779637315954077E-11i    6.987710060963767E-11-5.621193115867006E-12i      1.92438223910148E-10-1.5480499477452583E-11i      4.287406597524594E-11-3.448961139009256E-12i      1.5965383585039422E-11-1.2843192335891204E-12i    8.645925252160398E-11-6.955127657520698E-12i
1.7170111100285739+0.13809913010414468i           7.622991230735689E-10-6.131168584800845E-11i      4.2855551890731847E-10-3.4468702046689795E-11i    7.861489977439399E-10-6.322993024714707E-11i      2.737163837223659E-10-2.20149970297408E-11i       5.125702913321194E-11-4.122600659760187E-12i      4.082736477757544E-10-3.2837432019493084E-11i
1.7214551670417997+0.20111618327053526i           3.681464031248136E-12-4.301023976620388E-13i      3.389342413343822E-12-3.9597407066953997E-13i     3.249169285514069E-12-3.795977600888484E-13i      3.854904020206304E-13-4.5036524811180813E-14i     3.6498616406919515E-12-4.264103165131545E-13i     1.2857347272351557E-11-1.5021132469239524E-12i
1.721460400247068+0.20111144274774492i            2.092849166631657E-11-2.4449933050699297E-12i     1.1549237012591954E-11-1.349251901411538E-12i     1.0362051726392187E-11-1.2105577172860926E-12i    3.985684129340064E-12-4.656317888423849E-13i      1.8426812963079665E-12-2.152732028988834E-13i     1.3645939621782332E-12-1.594201414445192E-13i
1.7214685886147223+0.20110867377221328i           1.3472431464023365E-12-1.5739019823748677E-13i    6.419698338222929E-13-7.499741949149462E-14i      1.0221750413973212E-12-1.1941447453531216E-13i    1.5664768285948137E-11-1.830019319417929E-12i     1.3841393160025465E-12-1.6170055265501578E-13i    3.9681816049036954E-11-4.635784498929835E-12i
1.7214720270652413+0.2011020954023805i            1.814600629104436E-11-2.1198136425922306E-12i     5.568324914423788E-12-6.504908535057282E-13i      2.2568402707370533E-12-2.6364373065499527E-13i    4.435605388358566E-12-5.181667340233764E-13i      3.4701827032011034E-12-4.0538620556765575E-13i    1.6414095979963084E-12-1.9174921484688562E-13i
1.7241970962682036+0.07683961242636252i           7.098652244172659E-10-3.163546025986976E-11i      1.6772427456932967E-11-7.474707085572869E-13i     1.2204042542251628E-9-5.438785977607197E-11i      1.3734079898424997E-9-6.120653947926121E-11i      1.0729387606409043E-12-4.781599429862654E-14i     9.010919411156016E-10-4.015756415882E-11i
1.7250784126539322+0.07810846885035086i           1.3632685044642737E-8-6.172636254359855E-10i      5.787673641812829E-9-2.6205552341940007E-10i      1.3607227022363612E-8-6.161109316653172E-10i      1.21232538609244E-8-5.489192778803108E-10i        1.7740929187992237E-9-8.032775812925093E-11i      1.090290044702355E-8-4.936638553343583E-10i
1.7666867275331752+0.0806989678034801i            1.8832589522904843E-9-8.602377047837511E-11i      3.4062731562896524E-12-1.5559223006848306E-13i    1.4201335224359004E-9-6.486906117403063E-11i      3.9144143557656146E-10-1.788031761049599E-11i     6.107118390594919E-12-2.7896182310873564E-13i     5.263943184998502E-10-2.4044714605326978E-11i
1.767144842445926+0.08027949070456222i            1.823240396000578E-8-8.28278514059549E-10i        9.309818936720447E-9-4.229350672563651E-10i       1.7386791786700384E-8-7.89863261967041E-10i       3.9892622416365375E-9-1.8122789561621413E-10i     1.977183661591104E-9-8.98213284895306E-11i        3.4522659502296597E-9-1.5683273130997986E-10i
1.8014660664626128+0.10471270998391916i           7.541623402905745E-8-4.383673047736513E-9i        7.790227967967861E-5-4.528177894131675E-6i        7.385830018001793E-8-4.2931159851608394E-9i       5.432746394783837E-8-3.1578590806888716E-9i       7.87550722314418E-5-4.577747642244984E-6i         5.577906090210317E-8-3.2422351639885927E-9i
1.8171591551832338+0.08431765180038686i           1.2649789919958957E-8-5.869604645123072E-10i      1.823612887895773E-12-8.461711020837301E-14i      1.1531170537874488E-8-5.350556221176677E-10i      9.740862876029492E-9-4.5198390128549355E-10i      1.2286527274967039E-12-5.701047845212899E-14i     1.121929077965298E-8-5.205841495544082E-10i
1.8182191754783452+0.08443542587012053i           1.42841752818156E-7-6.633361034740191E-9i         3.787891340883404E-9-1.7590410596846184E-10i      1.3934049898401793E-7-6.470767953250405E-9i       1.207466336527597E-7-5.60729617878547E-9i         2.3451499715570512E-8-1.0890531749321493E-9i      1.2632519045769554E-7-5.8663561567672204E-9i
1.826731769161142+0.10045180085872167i            3.644773636893328E-5-2.0042574488998796E-6i       1.6257140926843618E-12-8.939785854085138E-14i     3.6054984344051145E-5-1.982660053564473E-6i       3.637976898447914E-5-2.0005199290935585E-6i       4.755311376069095E-12-2.6149410626906815E-13i     3.680299857068393E-5-2.0237932825374996E-6i
1.8282784563511034+0.09939313685851435i           3.169542022436125E-5-1.7231003456855674E-6i       1.8134189136839783E-8-9.858530774865537E-10i      3.1342311168018E-5-1.703903807739618E-6i          3.3237790334717485E-5-1.8069502663213326E-6i      1.0407049330194455E-7-5.657722841813562E-9i       3.3583184859022804E-5-1.8257274088868997E-6i
