% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_200-辐射.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jul 12 2026, 14:33
% Table:              表格 17 {tbl17} - 全局计算 6 {gev6}
% 特征频率 (kHz)                                      Eoz1 (W)                                          Eoz0 (W)                                          Eoz_1 (W)                                         Eof1 (W)                                          Eof0 (W)                                          Eof_1 (W)
1.6923768691606258+0.040441959633970945i          1.443542044629959E-8-3.4495667107421207E-10i      1.1020554946763094E-8-2.6335318475606666E-10i     1.2487787473707147E-8-2.984149725349025E-10i      2.1710640519224857E-8-5.188092933116137E-10i      7.938561547182548E-9-1.897041914796338E-10i       2.4504136948420253E-8-5.855642058171212E-10i
1.6957379520706328+0.05484466370770595i           1.491727591638474E-7-4.824642746658914E-9i        1.9286796103573303E-7-6.237861486840811E-9i       1.8692411638286833E-7-6.045621783342312E-9i       4.828947472816062E-7-1.561809711726862E-8i        1.2821804379248113E-7-4.1469116643121716E-9i      3.7342265176375336E-7-1.207747914812829E-8i
1.6960348156568181+0.04517808213032051i           8.122370706888406E-8-2.1635943289678585E-9i       8.577275558498653E-8-2.2847694873891787E-9i       1.0731205665647295E-7-2.8585220447389307E-9i      2.0618650035957653E-7-5.492287399655103E-9i       5.994525468956094E-8-1.5967901216928524E-9i       1.5968548913868525E-7-4.253617954495865E-9i
1.6965099604247642+0.051599116901189714i          5.142620247370716E-9-1.5641208687986042E-10i      5.780683136167688E-9-1.7581868180554097E-10i      6.4593641277348866E-9-1.9646067073540453E-10i     1.2123244631775844E-8-3.68726816564107E-10i       4.003133001643891E-9-1.2175473916529002E-10i      1.3333669352537547E-8-4.0554171781646124E-10i
1.7047695002582333+0.06038974826904671i           9.6291798374255E-9-3.41104029800757E-10i          8.337181248334668E-9-2.9533627671311663E-10i      7.140911812769753E-9-2.529596327945243E-10i       1.5140393123365612E-8-5.363332282023793E-10i      3.981135018986961E-9-1.410277117142763E-10i       1.816659119117121E-8-6.435332570035591E-10i
1.709182464572881+0.08537972060832986i            1.8432023273354286E-7-9.207448765386732E-9i       1.4847310798618895E-7-7.4167578596583834E-9i      2.2765906361816033E-7-1.1372376939597189E-8i      7.069712656879284E-7-3.5315719879934926E-8i       5.30813087402808E-8-2.6515994656557754E-9i        5.696069945068748E-7-2.8453887782952795E-8i
1.7115383861151328+0.08932889076880843i           1.0985435801357687E-8-5.733536581523252E-10i      4.6628163088535005E-9-2.433624697568272E-10i      5.5991499097350795E-9-2.922317458623817E-10i      1.525854327599892E-8-7.963763808340053E-10i       1.0371359472159307E-9-5.413036861623993E-11i      2.3177840755924716E-8-1.2097016473246419E-9i
1.7115882613004494+0.062328072315286975i          8.425934770532819E-8-3.068332983907235E-9i        8.863598825440625E-8-3.2277098473788815E-9i       1.0741298905593052E-7-3.911480757873674E-9i       2.0923819878918818E-7-7.619480619330822E-9i       4.0918765505829036E-8-1.4900708500780557E-9i      1.716988079029162E-7-6.2524708525930796E-9i
1.712727148936115+0.08890803879532384i            5.0264503992448795E-8-2.6092413340702166E-9i      3.442432624644357E-8-1.786974262259359E-9i        6.893087265141831E-8-3.578216590829798E-9i        1.823979810486101E-7-9.468318865227173E-9i        8.807421299786885E-9-4.571951551621149E-10i       1.4504400988613055E-7-7.529266098219849E-9i
1.7130286344232108+0.0847714625265434i            1.2064209850575431E-8-5.970132038130009E-10i      4.529572747892863E-9-2.2415183187439267E-10i      8.860367060251726E-9-4.38466852874559E-10i        1.5520764626185638E-8-7.680653378774419E-10i      1.568190894759893E-9-7.760397753909466E-11i       2.270492665920423E-8-1.123582992590616E-9i
