% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_辐射_purcell.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jun 27 2026, 20:07
% Table:              表格 64 {tbl64} - 全局计算 6 {gev6}
% freq (Hz)              Ez1/(1e-4[W]) (1)        Ez0/(1e-4[W]) (1)        Ez_1/(1e-4[W]) (1)       Ef1/(1e-4[W]) (1)        Ef0/(1e-4[W]) (1)        Ef_1/(1e-4[W]) (1)
2582.5                   163.4429502840304        17.795027969672603       12.481692410018159       38.574188197150306       5.752004045778965        2.2898739708775206
2583.5                   166.78802388346878       17.16949708606876        11.70707614305209        41.83653941711027        5.835427520566553        2.175556666714181
2584.5                   170.01759328121173       16.51457066053594        10.902918585378966       45.30217325392438        5.920377060270282        2.0588080307426284
2585.5                   173.08090905655527       15.830180585543557       10.073104069718104       48.965423694720904       6.005727238827369        1.939625435892688
2586.5                   175.9213994916747        15.116950549743592       9.22278073168193         52.815585132897134       6.090156235186458        1.8181071008354417
2587.5                   178.47732219639926       14.376327356308572       8.358464115323763        56.83613431586374        6.17214635285768         1.6944712406918212
2588.5                   180.6828747112791        13.61070340885615        7.488094374942448        61.00405653834673        6.2499953702830915       1.5690740471469673
2589.5                   182.46982138208347       12.823517925892705       6.6210279366797          65.28936195408778        6.3218412427562          1.442424700062094
2590.5                   183.76965835448323       12.019322319450996       5.767944762815607        69.65488788399527        6.385702130176052        1.315195292946493
2591.5                   184.5162860235436        11.203794291732013       4.940655447482489        74.0564832419057         6.439532680854726        1.1882234114526151
2592.5                   184.64909098732343       10.383686261280207       4.151798898756733        78.4436574576742         6.481295939296755        1.0625052394731427
2593.5                   184.11626423559466       9.566697293565356        3.414431469578963        82.76074559595767        6.509048250404268        0.9391775657694885
2594.5                   182.8781103744264        8.761264006386012        2.7415214571745388       86.94859347843813        6.521032329676333        0.8194879618910205
2595.5                   180.91004907372084       7.9762746132515705       2.1453773316443145       90.94670520813924        6.515771613682276        0.704753654429926
2596.5                   178.2049901910613        7.2207203458765274       1.6370514666517861       94.69572867852212        6.492157539754078        0.5963110786181003
2597.5                   174.77479011073584       6.503308325744472        1.2257706657533245       98.14009416952346        6.449520953263708        0.4954595406638664
2598.5                   170.6505726376722        5.832067568910482        0.9184477906076559       101.23058001266439       6.387679693711742        0.4034035479899279
2599.5                   165.88181612017908       5.213983393749243        0.7193237269108645       103.9265684804179        6.306956597543682        0.3211989227974708
2600.5                   160.53425115109295       4.654693933545156        0.6297758773670684       106.19777985950707       6.208165400053416        0.2497076263326067
2601.5                   154.6867546483253        4.158275702118881        0.6483103156424769       108.0253306804996        6.092565771180056        0.1895652768234775
2602.5                   148.42753988140822       3.7271343724640196       0.7707331045386095       109.40204316405463       5.961792290904243        0.14116380364294734
2603.5                   141.85000777975324       3.362004159922858        0.9904760873723272       110.33202180194077       5.817764907372102        0.10464983766857791
2604.5                   135.04863371778393       3.0620468534649317       1.299037230235373        110.8295932733451        5.6625898860563035       0.07993764046629447
2605.5                   128.1152198233686        2.825031717958207        1.6864874976821742       110.91776445983322       5.498460316843238        0.06673393107192208
2606.5                   121.13576008151796       2.647571525194619        2.1419957198952697       110.62638311733242       5.327564072947694        0.06457107646733502
2607.5                   114.18806389992751       2.5253882083722288       2.654328809719765        109.99018660242855       5.1520051018377755       0.07284482642486385
2608.5                   107.34018298747519       2.453583545149681        3.2122948502771407       109.0469013615884        4.973741553148011        0.09085302367081104
2609.5                   100.6496014986944        2.4268947653637967       3.8051085243933067       107.83551825656313       4.794541951237183        0.11783235126225841
2610.5                   94.16308893724849        2.439920770569189        4.4226699194953385       106.39482533381405       4.6159587161309386       0.15299100636018464
2611.5                   87.91708130575769        2.4873105900263415       5.055757399601108        104.76223796656107       4.4393169899157          0.19553604556441997
2612.5                   81.93844552132533        2.56391094400046         5.696142232744268        102.97293149519099       4.265715958007132        0.24469490882149253
2613.5                   76.24548949322813        2.6648738734391415       6.336636894944577        101.05925597385696       4.096039592959651        0.29973122683123554
2614.5                   70.8490989838393         2.785728185811882        6.971090786438348        99.05039662236693        3.9309738648457975       0.3599554287465981
2615.5                   65.75390655496327        2.9224200553246487       7.59434706733042         96.97223587066563        3.771027821114068        0.42473090507008116
2616.5                   60.9594229967436         3.0713287268230705       8.202173069110623        94.8473715390428         3.616556417998926        0.49347657640264914
2617.5                   56.46108464619555        3.2292631788735764       8.791174821834376        92.69524868218724        3.4677834924595117       0.5656667110193853
2618.5                   52.25118930415031        3.393445058507868        9.358704082865877        90.53236809902363        3.324823736746887        0.6408287599917171
2619.5                   48.319708501872924       3.5614824229126048       9.902764158027342        88.37254106517628        3.1877029428034183       0.7185398689079358
2620.5                   44.65497478554931        3.73133796807029         10.421918942788588       86.2271664666575         3.0563761080495224       0.7984226029108559
2621.5                   41.24425001761615        3.9012945953804805       10.915208061537387       84.10551259894886        2.9307432379817757       0.8801403023440734
2622.5                   38.07418513172824        4.069920426423238        11.382069762878608       82.01499111947639        2.810662853357616        0.9633923786976321
2623.5                   35.13118403177762        4.2360347490652055       11.82227231642221        79.96141490324271        2.695963323338029        1.0479097691040904
2624.5                   32.401685024867696       4.398675873462913        12.235854008286527       77.94923487218503        2.5864522130845886       1.1334506934340323
2625.5                   29.87237284943478        4.557071484570542        12.623071399268033       75.98175335526517        2.4819238678131375       1.2197968000964263
2626.5                   27.530333401778083       4.7106117860460515       12.984355242939436       74.06131331756944        2.382165464796501        1.3067497431337538
2627.5                   25.36316197551826        4.858825520856406        13.32027331718914        72.18946401263534        2.286961758623947        1.394128201633002
2628.5                   23.35903441286966        5.001358810601547        13.631499367264952       70.36710439333297        2.1960987294059624       1.4817653306335163
