comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Forward,Backward,pml_fraction,mode_class,matched_theory_index,theory_real_Hz,theory_imag_Hz,theory_Forward,theory_Backward,pair_quality
50,1721.13143167498,201.154312450052,4.27813704491757,0.00206865846442994,0.0124962294573652,0.602514520725936,PML-dominated,56,1805.15313523805,241.203171450188,0.730464165728065,0.724998019014914,low
51,1721.13345717564,201.150742205875,4.27821801277293,0.000902885392917827,0.00390061873818295,0.60248980363212,PML-dominated,49,1768.92109953355,5.90525762287151,0.055327103078774,0.0956484979961104,low
52,1721.14018032583,201.153616501744,4.27817359254615,9.70163104435689e-05,6.52147777212485e-07,0.602451484267054,PML-dominated,54,1795.24395444297,249.7193529942,0.759306205558265,0.363575948243604,low
53,1721.14099798846,201.153820352366,4.27817128944779,4.50078403796439e-05,5.85217071771932e-06,0.602447522797328,PML-dominated,61,1823.37903800858,241.121487339171,0.569914396838062,0.692311772007425,low
54,1732.69628547312,79.0675566177807,10.9570622869322,2.1250557763984e-05,6.40580013407294e-06,0.241133931709241,physical,66,1895.68996515403,10.2058415465687,0.00214987479003499,0.00105335102973151,low
55,1737.32374983202,110.316658266094,7.87425841726203,0.494653791819904,0.498571327047937,0.0368133364999646,physical,58,1815.8842125687,73.3659534460818,0.688937003427025,0.688406870141866,low
56,1744.173116348,88.3145501276916,9.8747777904442,2.27452993404872e-06,9.52292404505481e-07,0.229384074927617,physical,48,1747.94175734961,1.3676464012831,0.0546111408521239,0.00567919631121772,moderate
57,1744.69521819032,88.6775638171568,9.83729786368334,3.54324111574787e-06,9.5652115572166e-07,0.22927743342849,physical,52,1784.39528276771,42.4447244789807,4.20437847512843e-05,5.58063196069867e-05,low
58,1769.73636740708,71.8982827338847,12.30722278832,6.9040380508602e-06,4.60605715590309e-07,0.140014779061045,physical,57,1813.02369453601,17.3457642826838,0.0301598424127011,0.0194437847234603,low
59,1808.1266262528,101.860974263249,8.87546304819299,9.07884572037795e-10,1.37797645195187e-08,0.0454292787370122,physical,59,1817.55890136152,16.441887406671,0.0135715651916506,0.00129251901201114,moderate
60,1825.90867817339,80.8172185198473,11.2965325435258,5.7131749430225e-06,2.21260991680186e-06,0.100754260364436,physical,63,1838.47637930241,8.16186868544291,0.0289218687543903,0.0133417958936426,ambiguous
