comsol_index,theory_index,comsol_pml_fraction,comsol_real_Hz,theory_real_Hz,real_error_Hz,comsol_imag_Hz,theory_imag_Hz,imag_error_Hz,comsol_Q,theory_Q,comsol_Eoz1,theory_Eoz1,Eoz1_error,comsol_Eoz0,theory_Eoz0,Eoz0_error,comsol_Eoz_1,theory_Eoz_1,Eoz_1_error,comsol_Eof1,theory_Eof1,Eof1_error,comsol_Eof0,theory_Eof0,Eof0_error,comsol_Eof_1,theory_Eof_1,Eof_1_error,pair_cost,pair_ambiguity,pair_quality
38,21,0.288496307649209,1699.69740668137,1699.0714814088,-0.62592527256993,47.7943517545619,6.44364640092088,-41.350705353641,17.781362695427,131.840837911744,8.89440170277151e-07,1.16918910534221e-07,-7.7252125974293e-07,0.999998692637111,0.99999930589195,6.13254838910393e-07,4.17922718445688e-07,5.77189139295888e-07,1.592664208502e-07,1.35733995128264e-07,5.38091279831568e-07,4.02357284703304e-07,0.999998698004882,0.999999397949498,6.99944616044945e-07,1.16626112270622e-06,6.39592220374614e-08,-1.10230190066876e-06,0.351754789237486,0.0140079558829015,ambiguous
43,26,0.0336622705694516,1716.05725249063,1759.66587364755,43.60862115692,99.3040501772569,71.698426233875,-27.6056239433819,8.64041924487208,12.2713005436664,0.802864950919261,0.657007249788173,-0.145857701131088,1.13675594336787e-08,2.64363449134936e-08,1.50687854798149e-08,0.197135037713179,0.342992723775482,0.145857686062303,0.806368837301667,0.659126687268247,-0.14724215003342,3.86780843389542e-09,2.95162087770812e-08,2.56484003431858e-08,0.193631158830524,0.340873283215544,0.14724212438502,3.91789481604443,0.420290405872618,low
48,22,0.213736441962217,1716.65273987886,1700.12912420619,-16.5236156726701,52.9466512837993,6.34851915834714,-46.5981321254522,16.2111549857746,133.899660834356,8.85520670196825e-07,2.18704370569367e-06,1.30152303549684e-06,0.999998689685892,0.999997736957755,-9.52728137049164e-07,4.24793437470602e-07,7.59985393316443e-08,-3.48794898138958e-07,1.23726283181833e-07,1.11732218131015e-06,9.93595898128317e-07,0.9999985966666,0.999998591146068,-5.52053192048874e-09,1.27960711691378e-06,2.9153175102648e-07,-9.880753658873e-07,1.69422304317354,0.604008939393658,moderate
49,25,0.0355804936926124,1718.68612145878,1751.09783856892,32.41171711014,104.953585217051,65.3962147026478,-39.5573705144032,8.18783902381426,13.3883730620422,0.803604228558071,0.657893410562264,-0.145710817995807,1.48855669845474e-09,2.04467245119672e-08,1.89581678135125e-08,0.196395769953373,0.342106568991012,0.145710799037639,0.808662950246179,0.658742176074473,-0.149920774171706,6.13469560480853e-10,6.69954544015679e-08,6.6381984841087e-08,0.191337049140352,0.341257756930073,0.149920707789721,3.00916899760469,0.4227171078326,low
54,23,0.241133931709241,1732.69628547312,1729.50750764929,-3.18877782383015,79.0675566177807,60.0221678416418,-19.0453887761389,10.9570622869322,14.4072396069757,2.1250557763984e-05,5.67121443587055e-08,-2.11938456196253e-05,0.999975363026363,0.999999921567298,2.45585409349713e-05,3.38641587296142e-06,2.17205578175602e-08,-3.36469531514386e-06,6.40580013407294e-06,3.60704558653744e-08,-6.36972967820757e-06,0.999991853385659,0.999999958539977,8.10515431803882e-06,1.74081420680566e-06,5.3895666815704e-09,-1.73542464012409e-06,0.307495996531618,0.479962129042484,high
55,28,0.0368133364999646,1737.32374983202,1780.6800488739,43.35629904188,110.316658266094,73.8387737388407,-36.4778845272533,7.87425841726203,12.0578928841097,0.494653791819904,0.497624241221388,0.002970449401484,1.80925737949997e-09,8.2539306402714e-10,-9.8386431547283e-10,0.505346206370839,0.502375757953219,-0.00297044841762006,0.498571327047937,0.496482520510376,-0.00208880653756099,2.54314314147433e-09,1.43728159020191e-09,-1.10586155127242e-09,0.501428670408919,0.503517478052343,0.00208880764342401,3.6779274477685,0.566484823095013,low
56,24,0.229384074927617,1744.173116348,1738.44745669209,-5.72565965590979,88.3145501276916,10.1944698084108,-78.1200803192808,9.8747777904442,85.2642407777701,2.27452993404872e-06,2.97508381732367e-07,-1.97702155231635e-06,0.999993053600071,0.999999665202961,6.61160289006091e-06,4.67186999535063e-06,3.72886576435752e-08,-4.63458133770705e-06,9.52292404505481e-07,1.07368298236868e-06,1.21390577863199e-07,0.999997667583806,0.999998591673467,9.24089661014094e-07,1.38012378951077e-06,3.34643550820617e-07,-1.04548023869015e-06,0.802075163061559,0.478566310340063,high
57,27,0.22927743342849,1744.69521819032,1768.49325697557,23.7980387852499,88.6775638171568,18.2653841893326,-70.4121796278242,9.83729786368334,48.4110610169484,3.54324111574787e-06,4.95919698004043e-06,1.41595586429256e-06,0.999991156604025,0.999991646823352,4.90219326909624e-07,5.30015485958652e-06,3.39397966821999e-06,-1.90617519136653e-06,9.5652115572166e-07,7.9797489769807e-06,7.02322782125904e-06,0.999998281209439,0.999991196451148,-7.08475829103161e-06,7.62269404992641e-07,8.23799875151523e-07,6.15304701588819e-08,2.22170337494899,0.478566313723064,moderate
58,29,0.140014779061045,1769.73636740708,1785.01269050988,15.2763231028,71.8982827338847,25.7515798880915,-46.1467028457932,12.30722278832,34.6583141358123,6.9040380508602e-06,4.08786483913653e-08,-6.86315940246883e-06,0.999986539567706,0.999999520802788,1.29812350819769e-05,6.55639424288927e-06,4.3831856363437e-07,-6.1180756792549e-06,4.60605715590309e-07,2.22782817874054e-07,-2.37822897716255e-07,0.999997562343097,0.999999582419821,2.0200767240075e-06,1.97705118721817e-06,1.94797361386405e-07,-1.78225382583176e-06,1.42816811780004,1.11782283603117,moderate
59,30,0.0454292787370122,1808.1266262528,1786.92431116142,-21.2023150913799,101.860974263249,24.9901210732062,-76.8708531900428,8.87546304819299,35.7526141215321,9.07884572037795e-10,1.07581065516997e-06,1.07490277059793e-06,0.999999998920511,0.999998455675387,-1.54324512391391e-06,1.71604517684086e-10,4.68513958265105e-07,4.68342353747421e-07,1.37797645195187e-08,2.83716889411374e-07,2.69937124891855e-07,0.999999966941589,0.999999533075139,-4.33866449989218e-07,1.92786468266413e-08,1.83207971146355e-07,1.63929324319714e-07,1.97930451776777,1.09958017806804,moderate
