comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,pml_fraction,mode_class,matched_theory_index,real_error_Hz,imag_error_Hz,pair_quality
32,1685.0395971757,34.1910416743284,24.6415364180155,0.357340992329365,PML-dominated,NaN,NaN,NaN,not-applicable
33,1685.29740685347,32.1072319117138,26.2448256437611,0.340658480078616,PML-dominated,NaN,NaN,NaN,not-applicable
34,1686.4792544583,28.880735164896,29.1973047920917,0.297698279144523,physical,20,8.84250002700014,-24.1116330673746,moderate
35,1695.52952330473,55.4622803876531,15.2854292273401,0.368221505688126,PML-dominated,NaN,NaN,NaN,not-applicable
36,1695.81530588029,55.8700757023366,15.1764185439377,0.36880001339971,PML-dominated,NaN,NaN,NaN,not-applicable
37,1696.12174008008,52.8142788433386,16.0574164527668,0.349550092240131,PML-dominated,NaN,NaN,NaN,not-applicable
38,1699.69740668137,47.7943517545619,17.781362695427,0.288496307649209,physical,21,-0.62592527256993,-41.350705353641,ambiguous
39,1707.66761270323,86.6986560640645,9.84829344667912,0.394454220009851,PML-dominated,NaN,NaN,NaN,not-applicable
40,1707.89981054491,86.90044002729,9.82676157916212,0.394890184368517,PML-dominated,NaN,NaN,NaN,not-applicable
41,1710.29665486246,85.4805887833037,10.0040060510002,0.372513320350036,PML-dominated,NaN,NaN,NaN,not-applicable
42,1711.03147142273,87.8991981642239,9.73291854281753,0.376193417948671,PML-dominated,NaN,NaN,NaN,not-applicable
43,1716.05725249063,99.3040501772569,8.64041924487208,0.0336622705694516,physical,26,43.60862115692,-27.6056239433819,low
44,1716.41298504369,138.044219314656,6.21689554827113,0.488994892955933,PML-dominated,NaN,NaN,NaN,not-applicable
45,1716.49636552996,137.86484656837,6.22528660588874,0.48778076272906,PML-dominated,NaN,NaN,NaN,not-applicable
46,1716.51804272291,138.071556306308,6.21604510242089,0.488365479832559,PML-dominated,NaN,NaN,NaN,not-applicable
47,1716.5181898607,137.866723096732,6.2252810225145,0.487738500419204,PML-dominated,NaN,NaN,NaN,not-applicable
