theory_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,source_shift_index,Forward,Backward
27,1202.38300291719,69.1720374626701,8.69125044615086,0.885337635810127,6.29981171253226e-07,0.114661734208702,0.907949215471862,1.0122741406287e-06,0.0920497722539973,1,0.885337635810127,0.907949215471862
28,1214.04042963019,57.9022402616702,10.483535905897,0.509933763060023,7.30792715212356e-06,0.490058929012825,0.639933979749453,1.17892340616658e-06,0.360064841327141,1,0.509933763060023,0.639933979749453
29,1214.78468881234,66.3617041514771,9.15275386870324,0.682348380565292,3.27739842588535e-06,0.317648342036282,0.917498257392651,9.23906963998552e-06,0.0824925035377094,1,0.682348380565292,0.917498257392651
30,1231.62089629724,27.6842155144832,22.2440996323864,0.507393131687507,4.44940429546083e-07,0.492606423372063,0.508057741870963,1.27859267347932e-07,0.49194213026977,1,0.507393131687507,0.508057741870963
31,1311.44087725689,42.0341731525946,15.5996987557722,5.0864202621294e-05,0.999920646125356,2.84896720225121e-05,4.96957871345776e-05,0.999900299241895,5.00049709705634e-05,1,5.0864202621294e-05,4.96957871345776e-05
32,1316.90569266254,34.2097175345519,19.2475382372343,0.495254115287868,0.000193476675751055,0.504552408036381,0.502068021927518,0.000134464425972532,0.497797513646509,1,0.495254115287868,0.502068021927518
33,1353.83910542835,103.351608419334,6.5496760337553,0.745147090324404,9.02316429961053e-06,0.254843886511297,0.786852655136678,3.93036825908982e-07,0.213146951826496,1,0.745147090324404,0.786852655136678
34,1357.18758908318,109.73380524699,6.18399947959702,0.914806440916444,4.00841768539079e-06,0.0851895506658707,0.990399645324046,8.35578837814835e-06,0.00959199888757591,1,0.914806440916444,0.990399645324046
35,1357.66831343698,60.6791698834557,11.1872683496215,2.60663757284347e-05,0.999970426328543,3.50729572821157e-06,1.45148025752939e-06,0.999996178252226,2.37026751628028e-06,1,2.60663757284347e-05,1.45148025752939e-06
36,1364.86155677748,111.977867104517,6.09433628300652,0.979125848163935,9.85971565444695e-07,0.0208731658644992,0.897880844215867,1.34795079152679e-05,0.102105676276218,1,0.979125848163935,0.897880844215867
37,1367.12368186487,107.69690272249,6.34708913304421,0.779985832435143,2.04194715900398e-06,0.220012125617698,0.815222882806532,7.98650110968404e-06,0.184769130692358,1,0.779985832435143,0.815222882806532
38,1386.00948120649,47.1772733888658,14.6893767024441,0.527280101695801,2.63787187555945e-06,0.472717260432324,0.101523949450316,0.000532678240636936,0.897943372309047,1,0.527280101695801,0.101523949450316
39,1393.25647798315,52.4830871023995,13.2733853409268,0.888192030185696,4.82112071938531e-06,0.111803148693585,0.592509236083215,1.13510714952333e-06,0.407489628809635,1,0.888192030185696,0.592509236083215
40,1397.80455236436,43.253692308697,16.1582107532968,0.535997338854299,4.12868639500341e-07,0.464002248277061,0.623641482832832,2.65048505109019e-05,0.376332012316657,1,0.535997338854299,0.623641482832832
