solution_index,comsol_tvb_root,comsol_MAC,matlab_no_loss_index,matlab_tvb_index,matlab_MAC,comsol_no_loss_real_Hz,comsol_no_loss_imag_Hz,comsol_tvb_real_Hz,comsol_tvb_imag_Hz,matlab_no_loss_real_Hz,matlab_no_loss_imag_Hz,matlab_tvb_real_Hz,matlab_tvb_imag_Hz,comsol_loss_increment_Hz,matlab_loss_increment_Hz,no_loss_real_relative_error,tvb_real_relative_error,tvb_imag_absolute_error_Hz,loss_increment_absolute_error_Hz,loss_increment_relative_error,meaningful_loss,loss_within_10pct
11,54,0.999999999999999,41,41,0.999958272825119,1510.22146268127,122.685649533979,1527.1288251954,119.767052294784,1502.87176861015,4.47545735077833,1501.54610277671,5.79815105913007,-2.91859723919501,1.32269370835174,0.00486663330692714,0.0167521704761335,113.968901235654,4.24129094754675,1.4531950111474,1,0
12,55,1,42,42,0.99996942595109,1548.16512362716,103.698075787909,1606.42688562246,109.615485539095,1512.6041993709,42.6776050267307,1511.85663437643,43.309199160303,5.917409751186,0.631594133572285,0.0229697231345379,0.0588699380547202,66.306286378792,5.28581561761371,0.893265100757017,1,0
13,56,0.999999999999999,43,43,0.999992954684253,1618.27619685483,103.977750787484,1609.99065626461,108.059878579227,1522.26510597985,43.8937948321864,1521.58213656662,44.6365290329672,4.08212779174301,0.742734200780845,0.0593292362957452,0.0549124427238038,63.4233495462598,3.33939359096216,0.818052192711069,1,0
14,57,1,44,44,0.999984185026406,1662.80230949227,0.990594723316899,1656.91598666032,0.237339268655848,1560.74991421024,163.032138667561,1560.74557282052,162.950920603919,-0.753255454661051,-0.0812180636422966,0.0613737391988548,0.0580418166123423,162.713581335263,0.672037391018754,0.672037391018754,0,0
15,58,1,45,45,0.99998074243958,1665.99268954057,0.497018554751826,1664.01070650557,112.035063765951,1560.91962656059,170.258019378544,1560.94298942551,170.237846548828,111.538045211199,-0.0201728297163584,0.0630693421643727,0.0619393352922029,58.2027827828771,111.558218040915,1.00018086052771,1,0
16,59,1,46,46,0.999927960946425,1667.07548297936,0.1114468280868,1668.82841165626,0.304283140042577,1576.30468484795,169.746455640545,1576.29026168452,169.698085478698,0.192836311955777,-0.0483701618474299,0.054449123065012,0.0554509674723804,169.393802338655,0.241206473803207,0.241206473803207,0,0
17,60,1,47,47,0.999923806618574,1667.45530344692,0.987196591211235,1668.89927281395,0.707542050419214,1577.64757268307,165.594489550414,1577.65034008101,165.578332552931,-0.279654540792021,-0.0161569974835913,0.0538591532727743,0.0546761174981439,164.870790502511,0.26349754330843,0.26349754330843,0,0
18,61,0.999999999999999,48,48,0.999797500624619,1668.65277324633,0.719680522993558,1668.90270021127,0.63992608591233,1604.06194658941,58.2061201555273,1603.20995484674,58.9015626438885,-0.079754437081228,0.695442488361145,0.0387083686267831,0.0393628372440271,58.2616365579762,0.775196925442373,0.775196925442373,0,0
19,62,1,49,49,0.999800150420696,1668.65393137292,0.721486343704357,1668.9047451599,0.574902314885935,1607.46308957612,58.739551577552,1606.48067544368,59.5522454551085,-0.146584028818422,0.812693877556441,0.0366707803495569,0.0374042136899997,58.9773431402225,0.959277906374863,0.959277906374863,0,0
20,63,0.999999999999998,50,50,0.999974168905744,1668.65507230657,0.675065919695458,1670.87460416955,3.38506414493109,1617.64478201838,67.2364755665063,1616.74580329339,67.9558097137318,2.70999822523563,0.719334147225496,0.0305697031907711,0.0323954896083066,64.5707455688007,1.99066407801013,0.734562871470903,1,0
21,64,1,51,51,0.999717847901312,1668.65815444543,0.646456493279185,1671.60381834225,5.75916009117313,1642.56929522053,46.3902785883056,1641.89445864724,46.9931811600232,5.11270359789394,0.602902571717614,0.0156346338256271,0.0177729671163769,41.2340210688501,4.50980102617633,0.882077542698551,1,0
22,65,0.999999999999999,52,52,0.999914647234345,1671.34564679514,6.36537299629035,1671.86242971783,6.02140032533207,1646.9388819356,5.4331236514839,1646.92514185253,5.43376642599044,-0.34397267095828,0.000642774506541599,0.0146030624523087,0.0149158731137394,0.587633899341626,0.344615445464822,0.344615445464822,0,0
23,66,0.999999999999998,53,53,0.999883066116168,1671.36918332475,6.33107358450178,1671.98267662227,4.97592214381665,1648.8377501172,5.38764862346564,1648.82073134999,5.39123549304674,-1.35515144068513,0.00358686958109899,0.0134808236458764,0.0138529816104717,0.415313349230087,1.35873831026623,1.00264684039983,1,0
